filename, prompt
hacking, "Dark and mysterious background, with a barly visible skull and cross bones amid a sea of 1s and 0s."
abstract, "A dark and abstract background of paint splatters and brush strokes."
neon_abstract, "A neon abstract background with a dark and colorful gradient."
dark_gritty, "A dark and gritty background with a rough texture and grunge elements."
alien_landscape, "An alien landscape with a dark sky and glowing plants."
cyberpunk_city, "A cyberpunk cityscape with neon lights and futuristic buildings."
blood_moon, "A blood moon rising over a dark and eerie landscape."
space_invaders, "A retro video game scene with pixelated aliens and a dark background."
asteroids, "A vectrix-style illustration of a space scene with asteroids and a dark sky."
galaxy, "A colorful and vibrant galaxy background with stars and nebulae."
nebula, "A dark and mysterious nebula with glowing gas clouds and stars."
black_hole, "A black hole sucking in matter with a dark and eerie background."
neon_rain, "A neon rain scene with glowing drops falling against a dark background."
vibrant_paint, "A vibrant paint splatter background with bright colors and brush strokes."
graffiti_wall, "A graffiti-covered wall with colorful tags and street art."
controller_tech, "A front on shot of a video game controller with glowing buttons and tech elements."
controller_dripping, "A video game controller dripping with neon paint against a dark background."
bitcoin, "A bitcoin symbol with a dark and futuristic background."
bitcoin_coin, "A physical bitcoin coin with a dark and futuristic background."
cyber_security, "A cyber security macro wallpaper with a dark blue electric circutry."
stocks_go_up, "A stock market graph going up with a vibrant and colorful background."
pyschadelic_gold, "A background bars of gold with a vibrant and colorful background."
liquid_gold, "A liquid gold background, oozing and flowing, with a dark and luxurious feel."
car_art, "An abstract car illustration with a futuristic background."
car_in_space, "A sports car floating in space with a dark and futuristic background. Streaming stars flowing out of the exhaust."
car_neon, "A top down neon sports car with glowing lights and a dark background."
top_down_car, "A top down view of a sports car on a dark and futuristic road. Rainbow ink trail."
top_down_burnout, "A top down view of a sports car doing a burnout on a dark and futuristic road. Dense smoke and glowing tires."
matrix_code, "A matrix code background with green digital symbols on a dark and futuristic background."
matrix_rain, "A matrix rain scene with glowing green symbols falling against a dark background."
cyberpunk_rain, "A cyberpunk cityscape with neon lights and rain falling against a dark and futuristic background."
cyberpunk_unbrella, "A cyberpunk scene with a man holding glowing umbrella under heavy rain, and neon lights against a dark and futuristic background."
science, "A science background with molecules and atoms on a gritty background."
biology, "A biology background with cells and DNA strands on a dark and mysterious background."
chemistry, "A chemistry background with molecules and chemical formulas on a gloomy background."
physics, "A physics background with equations and formulas on a high contrast, duotone background."
rocket, "A rocket launching into space with a massive plume of smoke and fire against a dark and vibrant background."
cosmic_rocket, "A rocket launching into space with cosmically vibrant and colorful smoke and fire coming out of the engines."
drip_paint, "dark, thick, goopy paint dripping down a canvas."
splatter_paint, "A paint splatter background with gloomy, vibrant, colors and brush strokes."
